Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
SR Tendulkar,1989-2013,640,33839,248*,48.54,99,199,May-32,46.17,2,250,0,2.37
MS Dhoni,2004-2019,518,16902,224,44.47,15,1,Jan-14,98,0,622,189,-53.52
R Dravid,1996-2012,487,23753,270,45.67,48,5,Feb-43,41.8,0,397,14,3.87
M Azharuddin,1984-2000,419,15358,199,39.58,29,12,Mar-19,41.25,0,259,0,-1.66
SC Ganguly,1992-2008,405,18363,239,41.82,38,130,May-16,42.13,2,166,0,-0.3
A Kumble,1990-2008,389,3406,110*,15.07,1,946,Oct-74,30.11,37,143,0,-15.04
V Kohli,2008-2019,383,20946,254*,56.91,69,8,Jan-13,115.12,0,233,0,-58.2
Yuvraj Singh,2000-2017,383,11609,169,35.17,17,146,May-31,35.84,1,134,0,-0.66
Harbhajan Singh,1998-2016,349,3518,115,15.99,2,696,Aug-84,32.79,28,117,0,-16.8
N Kapil Dev,1978-1994,349,9007,175*,27.62,9,683,Sep-83,28.87,24,133,0,-1.24
V Sehwag,1999-2013,349,16698,319,40.82,38,133,5/104,41.42,1,178,0,-0.6
RG Sharma,2007-2019,337,13195,264,44.42,37,11,Feb-27,76.72,0,139,0,-32.29
SK Raina,2005-2018,313,7911,120,32.82,7,62,Mar-34,45.06,0,162,0,-12.23
Z Khan,2000-2014,294,1997,75,11.74,0,589,Jul-87,31.49,12,64,0,-19.75
J Srinath,1991-2003,289,1892,76,12.36,0,547,Aug-86,29.07,13,54,0,-16.7
RA Jadeja,2009-2019,240,4054,100*,30.48,1,421,Jul-48,29.52,10,110,0,0.95
DB Vengsarkar,1976-1992,240,10149,166,38.73,18,0,-,-,0,114,0,-
G Gambhir,2003-2016,233,10138,206,38.69,19,0,-,-,0,85,0,-
SM Gavaskar,1971-1987,230,13161,236*,46.17,35,2,01-Oct,115.5,0,130,0,-69.32
RJ Shastri,1981-1992,224,6885,206,32.47,15,278,May-15,38.84,3,76,0,-6.36
R Ashwin,2010-2019,220,3174,124,24.99,4,555,Jul-59,27.16,27,61,0,-2.17
VVS Laxman,1996-2012,218,11094,281,41.7,23,2,01-Feb,83,0,174,0,-41.29
S Dhawan,2010-2019,216,9137,190,39.72,24,0,-,-,0,107,0,-
AB Agarkar,1998-2007,211,1855,109*,15.08,1,342,Jun-41,31.1,3,56,0,-16.02
A Jadeja,1992-2000,201,5865,119,35.98,6,19,03-Mar,56.05,0,63,0,-20.07
BKV Prasad,1994-2001,186,420,30*,7.11,0,284,Jun-33,33.42,8,40,0,-26.3
K Srikkanth,1981-1992,185,6135,123,29.49,6,25,May-27,30.2,2,82,0,-0.7
I Sharma,2007-2019,182,782,57,7.89,0,396,Jul-74,33.48,9,44,0,-25.58
NS Sidhu,1983-1999,182,7612,201,39.23,15,0,-,-,0,29,0,-
NR Mongia,1994-2001,176,2706,152,22.36,1,-,-,-,-,205,50,-
B Kumar,2012-2019,171,1101,63*,16.68,0,231,Jun-82,30.82,6,41,0,-14.14
IK Pathan,2003-2012,166,2800,102,26.41,1,300,Jul-59,29.53,9,31,0,-3.11
M Prabhakar,1984-1996,166,3455,120,27.42,3,250,6/132,32.44,5,47,0,-5.01
AM Rahane,2011-2019,166,7175,188,37.56,14,-,-,-,-,141,0,-
A Nehra,1999-2017,156,245,24,5.69,0,231,Jun-23,31.97,2,26,0,-26.28
M Amarnath,1969-1989,152,6297,138,38.16,13,78,Apr-63,48.11,0,70,0,-9.95
KD Karthik,2004-2019,146,3176,129,28.87,1,-,-,-,-,134,18,-
KS More,1984-1993,141,1848,73,19.87,0,0,-,-,0,173,47,-
SMH Kirmani,1976-1986,136,3132,102,26.1,2,1,01-Sep,13,0,187,47,13.1
M Kaif,2000-2006,131,3372,148*,32.42,3,0,-,-,0,67,0,-
RR Singh,1989-2001,128,2229,82,24.76,0,66,May-22,44.71,2,38,0,-19.94
UT Yadav,2010-2019,122,395,31,10.39,0,244,Jun-88,32.14,2,39,0,-21.75
VG Kambli,1991-2000,118,3560,227,37.47,6,1,01-Jul,7,0,22,0,30.47
Mohammed Shami,2013-2019,117,579,51*,9.81,0,297,Jun-56,26.75,6,34,0,-16.94
GR Viswanath,1969-1983,116,6519,222,39.03,14,1,01-Nov,46,0,66,0,-6.96
JJ Bumrah,2016-2019,110,45,10*,2.81,0,213,Jun-27,20.79,6,26,0,-17.98
SV Manjrekar,1987-1996,109,4034,218,35.38,5,1,01-Feb,25,0,47,1,10.38
HH Pandya,2016-2019,104,1799,108,26.45,1,109,May-28,33.93,1,52,0,-7.47
S Madan Lal,1974-1987,102,1434,74,21.72,0,143,May-23,34.42,4,32,0,-12.69
RMH Binny,1979-1987,96,1451,83*,19.34,0,124,Jun-56,30.59,2,23,0,-11.25
Maninder Singh,1982-1993,91,148,15,4.93,0,154,Jul-27,34.49,3,26,0,-29.56
M Vijay,2008-2018,87,4490,167,34.8,12,2,01-Dec,122,0,61,0,-87.19
KL Rahul,2014-2019,85,3609,199,37.2,9,-,-,-,-,62,0,-
C Sharma,1983-1994,85,839,101*,22.67,1,126,Jun-58,35.53,4,14,0,-12.86
S Sreesanth,2005-2011,85,341,35,8.97,0,163,Jun-55,36.55,4,14,0,-27.58
SB Joshi,1996-2001,82,933,92,18.29,0,110,05-Jun,36.17,2,25,0,-17.87
YS Chahal,2016-2019,81,43,18*,7.16,0,131,Jun-25,24.56,3,21,0,-17.39
P Kumar,2007-2012,81,446,54*,13.11,0,110,5/106,32.9,1,14,0,-19.78
MM Patel,2006-2011,81,134,15*,6.7,0,120,Apr-25,33,0,17,0,-26.29
SLV Raju,1990-2001,80,272,31,8.5,0,156,06-Dec,31.22,5,14,0,-22.72
Yashpal Sharma,1978-1985,79,2489,140,31.5,2,2,01-Jun,108,0,26,0,-76.49
RP Singh,2005-2011,78,223,30,8.57,0,123,May-59,33.72,1,20,0,-25.14
BS Bedi,1966-1979,77,687,50*,8.8,0,273,Jul-98,29.21,14,30,0,-20.41
YK Pathan,2007-2012,77,1046,123*,24.32,2,46,Mar-49,39.19,0,26,0,-14.87
CA Pujara,2010-2019,77,5655,206*,47.92,18,0,-,-,0,47,0,-
KM Jadhav,2014-2019,75,1411,120,39.19,2,27,Mar-23,37.37,0,31,0,1.82
Kuldeep Yadav,2017-2019,74,172,26,11.46,0,153,Jun-25,21.55,4,15,0,-10.08
SM Patil,1980-1986,72,2518,174,30.7,4,24,Feb-28,34.54,0,23,0,-3.83
S Venkataraghavan,1965-1983,72,802,64,11.62,0,161,Aug-72,38.36,3,48,0,-26.73
A Mishra,2003-2017,65,691,84,17.71,0,152,Jun-48,28.92,3,13,0,-11.2
PA Patel,2002-2018,62,1611,71,25.98,0,-,-,-,-,93,19,-
